Global_ID,MTR,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20121004,96,8,1,1,SVREC,0,1004,FALSE,2012,PT11-13-1,I19720,1,73,2020,1900.2,14.19,38.3,42,53,2,4,1,15,38.22985898,40.07954878
20061004,93,6,1,1,SVREC,0,1004,FALSE,2006,I16706/P16901,P19703,1,81,2020,1389.2,14.65,34.5,47,45,2,5,2,15,27.79929488,35.90945122
20031004,96,1,,1,SVREC,0,1004,FALSE,2003,N14218/N15306,N20301,1,85,2020,337.9,15.13,16.9,52,42,3,4,4,16,6.303462168,17.4915
20041004,93,52,,1,SVREC,0,1004,FALSE,2004,B16504/B14302,B20556,1,95,2020,1648.3,13.66,18.6,52,55,1,5,4,16,31.28131918,19.58443902
20091004,96,153,,1,SVREC,0,1004,FALSE,2009,S17702/R17603,S20427,1,158,2020,972.9,17.83,34,54,36,3,5,1,16,17.57188074,34.0704878
20131005,96,19,1,1,SVREC,0,1005,FALSE,2013,B16501/B15414,B19330,1,7,2020,1516.1,12.29,22.2,46,65,1,6,2,15,31.17758264,23.74587805
20021005,96,19,1,1,SVREC,0,1005,FALSE,2002,B16501/B15414,B19330,1,26,2020,1597.2,13.66,22.6,46,52,1,5,1,15,32.33231685,23.79614634
20011005,96,19,1,1,SVREC,0,1005,FALSE,2001,N15335/N14243,N19252,1,38,2020,1371.2,13.87,19.1,45,37,1,5,1,15,27.68985822,20.0619878
20051005,96,24,1,2,SVREC,3,1005,FALSE,2005,"ND121630, ND PEGASUS",I15652,2,46,2020,2007.4,14.59,38.5,43,50,3,4,2,15,40.19834026,40.10103659
20071005,97,3,1,2,SVREC,0,1005,FALSE,2007,X16804/S16804,S19307,2,55,2020,1918.6,14.03,33.1,44,42,2,4,3,15,38.67201906,34.70252439
20111005,97,36,1,1,SVREC,0,1005,FALSE,2011,"Santa Fe/PS08-108, ND PALOMINO",I14520,1,64,2020,1466.16,12.09,36.4,41,40,3,4,2,15,30.21935059,39.02346341
20121005,96,5,1,2,SVREC,0,1005,FALSE,2012,"NE28-15-55/NE28-15-1, SB4-204",I20803,2,70,2020,1995.1,13.63,21.9,46,48,3,3,2,15,40.40108871,23.06710976
20061005,96,12,1,2,SVREC,0,1005,FALSE,2006,P14815/I15643,P19701,2,78,2020,1225.3,19.09,33.9,47,48,3,4,2,15,23.24395976,33.44937805
20031005,95,34,,1,SVREC,0,1005,FALSE,2003,N15306/N14218,N20338,1,86,2020,1166.1,15.78,16.3,53,46,3,4,2,16,21.5867762,16.74129268
20041005,92,145,,1,SVREC,1,1005,FALSE,2004,"Zenith//Alpena*/B09197, ADAMS",B18504,1,96,2020,1808.2,13.56,18.4,47,54,1,5,2,16,34.35563498,19.39629268
20091005,93,157,,1,SVREC,1,1005,FALSE,2009,"SR9-5/R09508, CAYENNE",R12844,1,159,2020,1442.2,12.35,31.7,45,48,2,5,1,16,27.78524102,33.88420732
20131006,96,34,1,1,SVREC,8,1006,FALSE,2013,"NDF120287, ND TWILIGHT",I19701,1,8,2020,1100.2,14.11,20.4,46,50,2,5,2,15,22.15540654,21.3677561
20021006,95,34,1,1,SVREC,0,1006,FALSE,2002,"NDF120287, ND TWILIGHT",I19701,1,27,2020,1095.6,14.42,20.1,45,46,2,5,2,15,21.98314305,20.97753659
20011006,96,34,1,1,SVREC,0,1006,TRUE,2001,N13142/B14302,N19290,1,39,2020,1669.2,14.29,18.8,48,41,2,5,1,15,33.5432664,19.65058537
20051006,98,8,1,2,SVREC,0,1006,FALSE,2005,G16351/P16902,G19613,2,47,2020,1839.5,12.66,41.2,44,58,2,5,3,15,37.66851158,43.88302439
20071006,96,4,1,2,SVREC,0,1006,FALSE,2007,S14706/R13752,S18907,2,56,2020,1849.3,15.99,39.8,45,44,2,6,3,15,36.42535848,40.77558537
20111006,98,15,1,2,SVREC,0,1006,FALSE,2011,NE4-18-23,I19739,2,60,2020,1755.9,14.64,42.7,43,40,4,3,3,15,35.14144904,44.44965854
20121006,98,4,1,2,SVREC,0,1006,FALSE,2012,"NE28-15-54/NE28-15-1, SB4-171",I20802,2,71,2020,1632.4,12.91,24.3,43,44,3,3,1,15,33.331922,25.80837805
20061006,93,8,1,2,SVREC,0,1006,FALSE,2006,P16911/X16801,P19707,2,79,2020,2085.8,14.26,37.4,44,59,2,5,1,15,41.9296872,39.10580488
20031006,95,67,,2,SVREC,0,1006,FALSE,2003,N14229/N17506,N20382,1,87,2020,565.1,14.98,17.2,53,43,1,4,3,16,10.56046799,17.83346341
20041006,92,39,,1,SVREC,0,1006,FALSE,2004,B16501/B15430,B20542,1,97,2020,1736.5,12.65,17.9,47,54,1,5,2,16,33.34068003,19.06786585
20091006,95,12,,1,SVREC,0,1006,FALSE,2009,R17603/I17551,R20612,1,160,2020,1427.6,12.16,35.4,45,42,2,4,1,16,27.56357996,37.92117073
20131007,96,23,1,2,SVREC,0,1007,FALSE,2013,B15414/B16504,B19309,2,3,2020,1461.8,13.01,20.5,45,56,1,7,2,15,29.8141731,21.7475
